number,title,front,back,text_path,preview,source
11,第十一大吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤011a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤011b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\011\原文011.txt,第十一大吉 /  / 第十一大吉 / 日文漢字 / 日文漢字 / 有祿興家業,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第011籤.htm
12,第十二大吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤012a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤012b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\012\原文012.txt,第十二大吉 /  / 第十二大吉 / 日文漢字 / 日文漢字 / 楊柳遇春時,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第012籤.htm
13,第十三大吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤013a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤013b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\013\原文013.txt,第十三大吉 /  / 第十三大吉 / 日文漢字 / 日文漢字 / 手把大陽輝,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第013籤.htm
14,第十四末吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤014a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤014b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\014\原文014.txt,第十四末吉 /  / 第十四末吉 / 日文漢字 / 日文漢字 / 玉石未分時,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第014籤.htm
15,第十五凶,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤015a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤015b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\015\原文015.txt,第十五凶 /  / 第十五凶 / 日文漢字 / 日文漢字 / 年乖數亦孤,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第015籤.htm
16,第十六吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤016a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤016b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\016\原文016.txt,第十六吉 /  / 第十六吉 / 日文漢字 / 日文漢字 / 破改重成望,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第016籤.htm
17,第十七凶,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/[異體字]__怪.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤017a.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\017\原文017.txt,第十七凶 /  / 第十七凶 / 日文漢字 / 日文漢字 / 怪異防憂惱,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第017籤.htm
18,第十八吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤018a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤018b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\018\原文018.txt,第十八吉 /  / 第十八吉 / 日文漢字 / 日文漢字 / 離暗出明時,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第018籤.htm
19,第十九末小吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤019a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤019b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\019\原文019.txt,第十九末小吉 /  / 第十九末小吉 / 日文漢字 / 日文漢字 / 家道生荊棘,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第019籤.htm
20,第二十吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤020a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤020b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\020\原文020.txt,第二十吉 /  / 第二十吉 / 日文漢字 / 日文漢字 / 月出漸分明,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第020籤.htm
21,第二十一吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤021a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤021b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\021\原文021.txt,第二十一吉 /  / 第二十一吉 / 日文漢字 / 日文漢字 / 洗出經年否,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第021籤.htm
22,第二十二吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤022a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤022b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\022\原文022.txt,第二十二吉 /  / 第二十二吉 / 漸漸濃雲散 / 看看月再明 / 逢春華菓秀,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第022籤.htm
23,第二十三吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤023a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤023b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\023\原文023.txt,第二十三吉 /  / 第二十三吉 / 日文漢字 / 日文漢字 / 紅雲隨步起,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第023籤.htm
24,第二十四凶,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤024a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤024b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\024\原文024.txt,第二十四凶 /  / 第二十四凶 / 日文漢字 / 日文漢字 / 三女莫相逢,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第024籤.htm
25,第二十五吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤025a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤025b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\025\原文025.txt,第二十五吉 /  / 第二十五吉 / 日文漢字 / 日文漢字 / 枯木逢春生,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第025籤.htm
26,第二十六吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤026a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤026b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\026\原文026.txt,第二十六吉 /  / 第二十六吉 / 日文漢字 / 日文漢字 / 將軍有異聲,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第026籤.htm
27,第二十七吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤027a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤027b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\027\原文027.txt,第二十七吉 /  / 第二十七吉 / 日文漢字 / 日文漢字 / 望祿應重山,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第027籤.htm
28,第二十八凶,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤028a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤028b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\028\原文028.txt,第二十八凶 /  / 第二十八凶 / 日文漢字 / 日文漢字 / 意速無船渡,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第028籤.htm
29,第二十九吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤029a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤029b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\029\原文029.txt,第二十九吉 /  / 第二十九吉 / 日文漢字 / 日文漢字 / 憂轗漸消融,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第029籤.htm
30,第三十半吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤030a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤030b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\030\原文030.txt,第三十半吉 /  / 第三十半吉 / 日文漢字 / 日文漢字 / 仙鶴立高枝,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第030籤.htm
31,第三十一末吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤031a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤031b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\031\原文031.txt,第三十一末吉 /  / 第三十一末吉 / 日文漢字 / 日文漢字 / 鯤鯨未變時,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第031籤.htm
32,第三十二吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤032a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤032b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\032\原文032.txt,第三十二吉 /  / 第三十二吉 / 日文漢字 / 日文漢字 / 似玉藏深石,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第032籤.htm
33,第三十三吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤033a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤033b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\033\原文033.txt,第三十三吉 /  / 第三十三吉 / 日文漢字 / 日文漢字 / 枯木逢春艷,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第033籤.htm
34,第三十四吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤034a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤034b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\034\原文034.txt,第三十四吉 /  / 第三十四吉 / 日文漢字 / 日文漢字 / 臘木春將至,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第034籤.htm
35,第三十五吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤035a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤035b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\035\原文035.txt,第三十五吉 /  / 第三十五吉 / 日文漢字 / 日文漢字 / 射鹿須乘箭,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第035籤.htm
36,第三十六末吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤036a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤036b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\036\原文036.txt,第三十六末吉 /  / 第三十六末吉 / 日文漢字 / 日文漢字 / 先損後有益,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第036籤.htm
37,第三十七半吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤037a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤037b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\037\原文037.txt,第三十七半吉 /  / 第三十七半吉 / 日文漢字 / 日文漢字 / 陰靉未能通,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第037籤.htm
38,第三十八半吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤038a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤038b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\038\原文038.txt,第三十八半吉 /  / 第三十八半吉 / 日文漢字 / 日文漢字 / 月照天書靜,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第038籤.htm
39,第三十九凶,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤039a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤039b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\039\原文039.txt,第三十九凶 /  / 第三十九凶 / 日文漢字 / 日文漢字 / 望用方心腹,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第039籤.htm
40,第四十末小吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤040a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤040b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\040\原文040.txt,第四十末小吉 /  / 第四十末小吉 / 日文漢字 / 日文漢字 / 中正方成道,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第040籤.htm
41,第四十一末吉,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤041a.jpg,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/淺草金龍山觀音寺一百籤掃描圖片/淺草金龍山觀音寺一百籤041b.jpg,C:\Users\Nicol\musiam-front\src\data\kannon100\041\原文041.txt,第四十一末吉 /  / 第四十一末吉 / 日文漢字 / 日文漢字 / 有物不周旋,http://www.chance.org.tw/籤詩集/淺草金龍山觀音寺一百籤/籤詩網‧淺草金龍山觀音寺一百籤__第041籤.htm
