"id","line_idx(1-4)","orig","ja_trans","en_trans"
"62","2","名顯四方揚","（訳準備中）","TBD"
"62","3","改故重乘祿","（訳準備中）","TBD"
"62","4","昴高福自昌","（訳準備中）","TBD"
"63","1","何故生荊棘","（訳準備中）","TBD"
"63","2","家人意漸疏","（訳準備中）","TBD"
"63","3","久困重輪下","（訳準備中）","TBD"
"63","4","黃金未出渠","（訳準備中）","TBD"
"64","1","安居且慮危","（訳準備中）","TBD"
"64","2","情深主別離","（訳準備中）","TBD"
"64","3","風飄波浪急","（訳準備中）","TBD"
"64","4","鴛鴦各自飛","（訳準備中）","TBD"
"65","1","苦病兼防辱","（訳準備中）","TBD"
"65","2","乘危亦未穌","（訳準備中）","TBD"
"65","3","若見一陽後","（訳準備中）","TBD"
"65","4","方可作良圖","（訳準備中）","TBD"
"66","1","水滯少波濤","（訳準備中）","TBD"
"66","2","飛鴻落羽毛","（訳準備中）","TBD"
"66","3","重憂心緒亂","（訳準備中）","TBD"
"66","4","閑事惹風騷","（訳準備中）","TBD"
"67","1","枯木未生枝","（訳準備中）","TBD"
"67","2","獨步上雲岐","（訳準備中）","TBD"
"67","3","豈知身未穩","（訳準備中）","TBD"
"67","4","獨自惹閑非","（訳準備中）","TBD"
"68","1","異夢生英傑","（訳準備中）","TBD"
"68","2","前來事可疑","（訳準備中）","TBD"
"68","3","芳菲春日暖","（訳準備中）","TBD"
"68","4","依舊發殘枝","（訳準備中）","TBD"
"69","1","明月暗雲浮","（訳準備中）","TBD"
"69","2","花紅一半枯","（訳準備中）","TBD"
"69","3","惹事傷心處","（訳準備中）","TBD"
"69","4","行舟莫遠圖","（訳準備中）","TBD"
"70","1","雷發庭前草","（訳準備中）","TBD"
"70","2","炎火向天飛","（訳準備中）","TBD"
"70","3","一心來趕祿","（訳準備中）","TBD"
"70","4","爭奈掩朱扉","（訳準備中）","TBD"
"71","1","道業未成時","（訳準備中）","TBD"
"71","2","何期兩不宜","（訳準備中）","TBD"
"71","3","事煩心緒亂","（訳準備中）","TBD"
"71","4","飜做徘徊思","（訳準備中）","TBD"
"72","1","戶內防重厄","（訳準備中）","TBD"
"72","2","花菓見分枝","（訳準備中）","TBD"
"72","3","嚴霜纔過後","（訳準備中）","TBD"
"72","4","方可始相宜","（訳準備中）","TBD"
"73","1","久暗漸分明","（訳準備中）","TBD"
"73","2","登江綠水澄","（訳準備中）","TBD"
"73","3","芝書從遠降","（訳準備中）","TBD"
"73","4","終得異人成","（訳準備中）","TBD"
"74","1","蛇虎正交羅","（訳準備中）","TBD"
"74","2","牛生二尾多","（訳準備中）","TBD"
"74","3","交歲方成慶","（訳準備中）","TBD"
"74","4","上下不能和","（訳準備中）","TBD"
"75","1","孤舟欲過岸","（訳準備中）","TBD"
"75","2","浪急渡人空","（訳準備中）","TBD"
"75","3","女人立流水","（訳準備中）","TBD"
"75","4","望月意情濃","（訳準備中）","TBD"
"76","1","富貴天之祐","（訳準備中）","TBD"
"76","2","何須苦用心","（訳準備中）","TBD"
"76","3","前程應顯跡","（訳準備中）","TBD"
"76","4","久用得高臨","（訳準備中）","TBD"
"77","1","累滯未能穌","（訳準備中）","TBD"
"77","2","求名莫遠圖","（訳準備中）","TBD"
"77","3","登舟波浪急","（訳準備中）","TBD"
"77","4","咫尺隔天衢","（訳準備中）","TBD"
"78","1","但存公道正","（訳準備中）","TBD"
"78","2","何愁理去忠","（訳準備中）","TBD"
"78","3","松柏蒼蒼翠","（訳準備中）","TBD"
"78","4","前山祿馬重","（訳準備中）","TBD"
"79","1","殘月未還光","（訳準備中）","TBD"
"79","2","樽前非語傷","（訳準備中）","TBD"
"79","3","戶中有人厄","（訳準備中）","TBD"
"79","4","祈福保青陽","（訳準備中）","TBD"
"80","1","深山多養道","（訳準備中）","TBD"
"80","2","忠正帝王宣","（訳準備中）","TBD"
"80","3","鳳遂鸞飛去","（訳準備中）","TBD"
"80","4","昇高過九天","（訳準備中）","TBD"
"81","1","道合須成合","（訳準備中）","TBD"
"81","2","先憂事更多","（訳準備中）","TBD"
"81","3","所求財寶盛","（訳準備中）","TBD"
"81","4","更變得中和","（訳準備中）","TBD"
"82","1","火發應連天","（訳準備中）","TBD"
"82","2","新愁惹舊愆","（訳準備中）","TBD"
"82","3","欲求千里外","（訳準備中）","TBD"
"82","4","要渡更無船","（訳準備中）","TBD"
"83","1","舉步出雲端","（訳準備中）","TBD"
"83","2","高枝未可攀","（訳準備中）","TBD"
"83","3","昇頭看皎月","（訳準備中）","TBD"
"83","4","猶在黑雲間","（訳準備中）","TBD"
"84","1","否極方無泰","（訳準備中）","TBD"
"84","2","花開值晚秋","（訳準備中）","TBD"
"84","3","人情不調備","（訳準備中）","TBD"
"84","4","財寶鬼來偷","（訳準備中）","TBD"
"85","1","望用何愁晚","（訳準備中）","TBD"
"85","2","求名漸得寧","（訳準備中）","TBD"
"85","3","雲梯終有望","（訳準備中）","TBD"
"85","4","歸路入蓬瀛","（訳準備中）","TBD"
"86","1","花發應陽臺","（訳準備中）","TBD"
"86","2","車行進寶財","（訳準備中）","TBD"
"86","3","執文朝帝殿","（訳準備中）","TBD"
"86","4","走馬聽聲雷","（訳準備中）","TBD"
"87","1","鑿石方逢玉","（訳準備中）","TBD"
"87","2","淘沙始見金","（訳準備中）","TBD"
"87","3","青霄終有路","（訳準備中）","TBD"
"87","4","只恐不堅心","（訳準備中）","TBD"
"88","1","作事不和同","（訳準備中）","TBD"
"88","2","臨危更主凶","（訳準備中）","TBD"
"88","3","佳人生苦根","（訳準備中）","TBD"
"88","4","閑慮兩三重","（訳準備中）","TBD"
"89","1","一片無瑕玉","（訳準備中）","TBD"
"89","2","從今好琢磨","（訳準備中）","TBD"
"89","3","得遇高人識","（訳準備中）","TBD"
"89","4","方逢喜氣多","（訳準備中）","TBD"
"90","1","一信向天飛","（訳準備中）","TBD"
"90","2","秦川舟自歸","（訳準備中）","TBD"
"90","3","前途成好事","（訳準備中）","TBD"
"90","4","應得貴人推","（訳準備中）","TBD"
"91","1","改變前途去","（訳準備中）","TBD"
"91","2","月桂又逢圓","（訳準備中）","TBD"
"91","3","雲中乘祿至","（訳準備中）","TBD"
"91","4","凡事可宜先","（訳準備中）","TBD"
"92","1","自幼常為旅","（訳準備中）","TBD"
"92","2","逢春駿馬驕","（訳準備中）","TBD"
"92","3","前程宜進步","（訳準備中）","TBD"
"92","4","得箭降青霄","（訳準備中）","TBD"
"93","1","有魚臨旱池","（訳準備中）","TBD"
"93","2","跳躍入波濤","（訳準備中）","TBD"
"93","3","隔中須有望","（訳準備中）","TBD"
"93","4","先且慮塵勞","（訳準備中）","TBD"
"94","1","事忌樽前語","（訳準備中）","TBD"
"94","2","人防小輩交","（訳準備中）","TBD"
"94","3","幸乞陰公祐","（訳準備中）","TBD"
"94","4","方免事敵爻","（訳準備中）","TBD"
"95","1","志氣勤修業","（訳準備中）","TBD"
"95","2","祿位未造逢","（訳準備中）","TBD"
"95","3","若聞金雞語","（訳準備中）","TBD"
"95","4","乘船得便風","（訳準備中）","TBD"
"96","1","雞逐鳳同飛","（訳準備中）","TBD"
"96","2","高林整羽儀","（訳準備中）","TBD"
"96","3","棹舟須濟岸","（訳準備中）","TBD"
"96","4","寶貨滿船歸","（訳準備中）","TBD"
"97","1","霧罩重樓屋","（訳準備中）","TBD"
"97","2","佳人水上行","（訳準備中）","TBD"
"97","3","白雲歸去路","（訳準備中）","TBD"
"97","4","不見月波澄","（訳準備中）","TBD"
"98","1","欲理新絲亂","（訳準備中）","TBD"
"98","2","閑愁足是非","（訳準備中）","TBD"
"98","3","只困羅網裡","（訳準備中）","TBD"
"98","4","相見幾人悲","（訳準備中）","TBD"
"99","1","紅日當門照","（訳準備中）","TBD"
"99","2","暗月再重圓","（訳準備中）","TBD"
"99","3","遇珍須得寶","（訳準備中）","TBD"
"99","4","頗有稱心田","（訳準備中）","TBD"
"100","1","祿走白雲間","（訳準備中）","TBD"
"100","2","攜琴走遠山","（訳準備中）","TBD"
"100","3","不遇神仙面","（訳準備中）","TBD"
"100","4","空惹意闌珊","（訳準備中）","TBD"
